external_id	source_file	crop_box	output_file
OWNER-PHY-DIAGRAM-2026-001	Screenshot_2026-08-17-07-43-37-976_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-001.png
OWNER-PHY-DIAGRAM-2026-002	Screenshot_2026-08-17-07-43-27-636_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-002.png
OWNER-PHY-DIAGRAM-2026-003	Screenshot_2026-08-17-07-43-13-638_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-003.png
OWNER-PHY-DIAGRAM-2026-004	Screenshot_2026-08-17-07-43-04-025_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-004.png
OWNER-PHY-DIAGRAM-2026-005	Screenshot_2026-08-17-07-42-58-491_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-005.png
OWNER-PHY-DIAGRAM-2026-006	Screenshot_2026-08-17-07-42-49-630_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-006.png
OWNER-PHY-DIAGRAM-2026-007	Screenshot_2026-08-17-07-42-40-006_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-007.png
OWNER-PHY-DIAGRAM-2026-008	Screenshot_2026-08-17-07-42-27-274_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-008.png
OWNER-PHY-DIAGRAM-2026-009	Screenshot_2026-08-17-07-42-07-906_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-009.png
OWNER-PHY-DIAGRAM-2026-010	Screenshot_2026-08-17-07-41-57-260_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-010.png
OWNER-PHY-DIAGRAM-2026-011	Screenshot_2026-08-17-07-41-43-651_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-011.png
OWNER-PHY-DIAGRAM-2026-012	Screenshot_2026-08-17-07-41-36-232_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-012.png
OWNER-PHY-DIAGRAM-2026-013	Screenshot_2026-08-17-07-41-24-376_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-013.png
OWNER-PHY-DIAGRAM-2026-014	Screenshot_2026-08-17-07-40-58-205_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-014.png
OWNER-PHY-DIAGRAM-2026-015	Screenshot_2026-08-17-07-40-39-641_com.myschool.cbt.jpg	(38, 335, 682, 600)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-phy-diagram-2026-015.png
OWNER-CHEM-DIAGRAM-2026-001	Screenshot_2026-08-17-07-36-21-763_com.myschool.cbt.jpg	(38, 330, 682, 590)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-001.png
OWNER-CHEM-DIAGRAM-2026-002	Screenshot_2026-08-17-07-35-32-636_com.myschool.cbt.jpg	(38, 330, 682, 590)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-002.png
OWNER-CHEM-DIAGRAM-2026-003	Screenshot_2026-08-17-07-34-53-384_com.myschool.cbt.jpg	(38, 330, 682, 590)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-003.png
OWNER-CHEM-DIAGRAM-2026-004	Screenshot_2026-08-17-07-34-30-852_com.myschool.cbt.jpg	(38, 330, 682, 590)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-004.png
OWNER-CHEM-DIAGRAM-2026-005	Screenshot_2026-08-17-07-34-20-959_com.myschool.cbt.jpg	(38, 350, 682, 445)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-005.png
OWNER-CHEM-DIAGRAM-2026-006	Screenshot_2026-08-17-07-33-54-841_com.myschool.cbt.jpg	(38, 350, 682, 430)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-006.png
OWNER-CHEM-DIAGRAM-2026-007	Screenshot_2026-08-17-07-33-27-563_com.myschool.cbt.jpg	(38, 350, 682, 430)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-007.png
OWNER-CHEM-DIAGRAM-2026-008	Screenshot_2026-08-17-07-33-01-885_com.myschool.cbt.jpg	(38, 330, 682, 590)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-008.png
OWNER-CHEM-DIAGRAM-2026-009	Screenshot_2026-08-17-07-32-30-140_com.myschool.cbt.jpg	(38, 350, 682, 430)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-chem-diagram-2026-009.png
OWNER-BIO-DIAGRAM-2025-001	Screenshot_2026-08-17-07-09-05-372_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-001.png
OWNER-BIO-DIAGRAM-2025-002	Screenshot_2026-08-17-07-08-42-467_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-002.png
OWNER-BIO-DIAGRAM-2025-003	Screenshot_2026-08-17-07-08-28-458_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-003.png
OWNER-BIO-DIAGRAM-2025-004	Screenshot_2026-08-17-07-08-02-664_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-004.png
OWNER-BIO-DIAGRAM-2025-005	Screenshot_2026-08-17-07-07-53-147_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-005.png
OWNER-BIO-DIAGRAM-2025-006	Screenshot_2026-08-17-07-07-27-520_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-006.png
OWNER-BIO-DIAGRAM-2025-007	Screenshot_2026-08-17-07-07-08-579_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-007.png
OWNER-BIO-DIAGRAM-2025-008	Screenshot_2026-08-17-07-06-58-242_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-008.png
OWNER-BIO-DIAGRAM-2025-009	Screenshot_2026-08-17-07-06-43-415_com.myschool.cbt.jpg	(38, 245, 682, 610)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2025-009.png
OWNER-BIO-DIAGRAM-2026-001	350949.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-001.png
OWNER-BIO-DIAGRAM-2026-002	350948.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-002.png
OWNER-BIO-DIAGRAM-2026-003	350947.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-003.png
OWNER-BIO-DIAGRAM-2026-004	350946.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-004.png
OWNER-BIO-DIAGRAM-2026-005	350945.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-005.png
OWNER-BIO-DIAGRAM-2026-006	350944.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-006.png
OWNER-BIO-DIAGRAM-2026-007	350943.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-007.png
OWNER-BIO-DIAGRAM-2026-008	350942.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-008.png
OWNER-BIO-DIAGRAM-2026-009	350941.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-009.png
OWNER-BIO-DIAGRAM-2026-010	350940.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-010.png
OWNER-BIO-DIAGRAM-2026-011	Screenshot_2026-08-17-08-48-44-488_com.myschool.cbt.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-011.png
OWNER-BIO-DIAGRAM-2026-012	Screenshot_2026-08-17-08-48-17-305_com.myschool.cbt.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-012.png
OWNER-BIO-DIAGRAM-2026-013	Screenshot_2026-08-17-08-47-51-181_com.myschool.cbt.jpg	(38, 130, 682, 535)	/home/ubuntu/webdev-static-assets/recovered-owner-original-diagrams/owner-bio-diagram-2026-013.png
